Zeta Potential (mV) - NCs1 CHCl3 A40 + SPION esano	Total Counts (kcps) - NCs1 CHCl3 A40 + SPION esano	Zeta Potential (mV) - NCs1 CHCl3 A40 + SPION esano	Total Counts (kcps) - NCs1 CHCl3 A40 + SPION esano	Zeta Potential (mV) - NCs1 CHCl3 A40 + SPION esano	Total Counts (kcps) - NCs1 CHCl3 A40 + SPION esano	Zeta Potential (mV) - NCs1 CHCl3 A40 + SPION esano (Avg)	Total Counts (kcps) - NCs1 CHCl3 A40 + SPION esano (Avg)
-147.8	0	-149.9	0	-148.5	0	-146.5	0
-144.3	0	-146.4	0	-145	0	-143	0
-140.8	0	-142.9	0	-141.4	0	-139.5	0
-137.3	0	-139.4	0	-137.9	0	-136	0
-133.7	0	-135.9	0	-134.4	0	-132.5	0
-130.2	0	-132.3	0	-130.9	0	-128.9	0
-126.7	0	-128.8	0	-127.4	0	-125.4	0
-123.2	0	-125.3	0	-123.9	0	-121.9	0
-119.7	0	-121.8	0	-120.3	0	-118.4	0
-116.2	0	-118.3	0	-116.8	0	-114.9	0
-112.6	0	-114.8	0	-113.3	0	-111.3	0
-109.1	0	-111.2	0	-109.8	0	-107.8	0
-105.6	0	-107.7	0	-106.3	0	-104.3	0
-102.1	0	-104.2	0	-102.7	0	-100.8	0
-98.56	0	-100.7	0	-99.23	0	-97.28	0
-95.04	0	-97.16	0	-95.71	0	-93.76	0
-91.52	0	-93.65	0	-92.19	0	-90.24	0
-88	0	-90.13	0	-88.67	0	-86.72	0
-84.49	0	-86.61	0	-85.16	0	-83.2	0
-80.97	0	-83.09	0	-81.64	0	-79.68	0
-77.45	0	-79.57	0	-78.12	0	-76.17	0
-73.93	0	-76.05	0	-74.6	0	-72.65	0
-70.41	0	-72.54	0	-71.08	0	-69.13	0
-66.89	0	-69.02	0	-67.56	0	-65.61	0
-63.38	0	-65.5	0	-64.05	0	-62.09	0
-59.86	0	-61.98	0	-60.53	0	-58.58	0
-56.34	0	-58.46	0	-57.01	0	-55.06	0
-52.82	0	-54.95	0	-53.49	0	-51.54	0
-49.3	0	-51.43	0	-49.97	0	-48.02	0
-45.78	0	-47.91	0	-46.46	0	-44.5	0
-42.27	0	-44.39	0	-42.94	0	-40.98	0
-38.75	1141	-40.87	0	-39.42	2.429E+04	-37.47	3.079E+04
-35.23	3.626E+04	-37.35	2.494E+04	-35.9	7.581E+04	-33.95	9.54E+04
-31.71	1.095E+05	-33.84	9.405E+04	-32.38	1.819E+05	-30.43	2.173E+05
-28.19	2.519E+05	-30.32	2.112E+05	-28.86	3.894E+05	-26.91	4.088E+05
-24.68	3.934E+05	-26.8	4.367E+05	-25.35	5.21E+05	-23.39	4.796E+05
-21.16	3.427E+05	-23.28	5.681E+05	-21.83	3.81E+05	-19.88	3.061E+05
-17.64	1.677E+05	-19.76	3.628E+05	-18.31	1.729E+05	-16.36	1.14E+05
-14.12	5.726E+04	-16.25	1.05E+05	-14.79	7.354E+04	-12.84	3.866E+04
-10.6	1.393E+04	-12.73	2.163E+04	-11.27	2.011E+04	-9.321	7511
-7.084	0	-9.209	0	-7.756	0	-5.803	0
-3.566	0	-5.691	0	-4.238	0	-2.284	0
-0.04733	0	-2.173	0	-0.7198	0	1.234	0
3.471	0	1.346	0	2.798	0	4.752	0
6.989	0	4.864	0	6.317	0	8.27	0
10.51	0	8.382	0	9.835	0	11.79	0
14.03	0	11.9	0	13.35	0	15.31	0
17.54	0	15.42	0	16.87	0	18.82	0
21.06	0	18.94	0	20.39	0	22.34	0
24.58	0	22.45	0	23.91	0	25.86	0
28.1	0	25.97	0	27.43	0	29.38	0
31.62	0	29.49	0	30.94	0	32.9	0
35.14	0	33.01	0	34.46	0	36.42	0
38.65	0	36.53	0	37.98	0	39.93	0
42.17	0	40.05	0	41.5	0	43.45	0
45.69	0	43.56	0	45.02	0	46.97	0
49.21	0	47.08	0	48.53	0	50.49	0
52.73	0	50.6	0	52.05	0	54.01	0
56.25	0	54.12	0	55.57	0	57.53	0
59.76	0	57.64	0	59.09	0	61.04	0
63.28	0	61.15	0	62.61	0	64.56	0
66.8	0	64.67	0	66.12	0	68.08	0
70.32	0	68.19	0	69.64	0	71.6	0
73.84	0	71.71	0	73.16	0	75.12	0
77.35	0	75.23	0	76.68	0	78.63	0
80.87	0	78.75	0	80.2	0	82.15	0
84.39	0	82.26	0	83.72	0	85.67	0
87.91	0	85.78	0	87.23	0	89.19	0
91.43	0	89.3	0	90.75	0	92.71	0
94.95	0	92.82	0	94.27	0	96.23	0
98.46	0	96.34	0	97.79	0	99.74	0
102	0	99.85	0	101.3	0	103.3	0
105.5	0	103.4	0	104.8	0	106.8	0
109	0	106.9	0	108.3	0	110.3	0
112.5	0	110.4	0	111.9	0	113.8	0
116.1	0	113.9	0	115.4	0	117.3	0
119.6	0	117.4	0	118.9	0	120.9	0
123.1	0	121	0	122.4	0	124.4	0
126.6	0	124.5	0	125.9	0	127.9	0
130.1	0	128	0	129.5	0	131.4	0
133.6	0	131.5	0	133	0	134.9	0
137.2	0	135	0	136.5	0	138.4	0
140.7	0	138.6	0	140	0	142	0
144.2	0	142.1	0	143.5	0	145.5	0
		145.6	0				
