Time (s) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Voltage (V) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Current (NCs1 CHCl3 A40 + SPION esano)	Current (mA) - Current (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Voltage (V) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Current (NCs1 CHCl3 A40 + SPION esano)	Current (mA) - Current (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Voltage (V) - Voltage (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Current (NCs1 CHCl3 A40 + SPION esano)	Current (mA) - Current (NCs1 CHCl3 A40 + SPION esano)	Time (s) - Voltage (NCs1 CHCl3 A40 + SPION esano (Avg))	Voltage (V) - Voltage (NCs1 CHCl3 A40 + SPION esano (Avg))	Time (s) - Current (NCs1 CHCl3 A40 + SPION esano (Avg))	Current (mA) - Current (NCs1 CHCl3 A40 + SPION esano (Avg))
0	0.009	0	0.0005	0	0.008	0	0.0005833	0	0.01	0	0.0008333	0	0.009	0	0.0006389
0.00025	0.0095	0.00025	0.00025	0.00025	0.0095	0.00025	0.0003333	0.00025	0.0115	0.00025	0.0003333	0.00025	0.01017	0.00025	0.0003056
0.0005	0.0085	0.0005	0.0006667	0.0005	0.01	0.0005	0.00075	0.0005	0.0075	0.0005	0.0004167	0.0005	0.008667	0.0005	0.0006111
0.00075	0.0095	0.00075	0.0004167	0.00075	0.01	0.00075	0.0005	0.00075	0.0075	0.00075	0.0004167	0.00075	0.009	0.00075	0.0004444
0.001	0.006	0.001	0.00025	0.001	0.007	0.001	0.0004167	0.001	0.0065	0.001	0.0004167	0.001	0.0065	0.001	0.0003611
0.00125	0.0105	0.00125	0.0005833	0.00125	0.0085	0.00125	0.0005	0.00125	0.009	0.00125	0.0005833	0.00125	0.009333	0.00125	0.0005556
0.0015	0.009	0.0015	0.0001667	0.0015	0.0075	0.0015	0.00075	0.0015	0.009	0.0015	0.0003333	0.0015	0.0085	0.0015	0.0004167
0.00175	0.0085	0.00175	0.0005	0.00175	0.0065	0.00175	0.0004167	0.00175	0.008	0.00175	0.0004167	0.00175	0.007667	0.00175	0.0004444
0.002	0.011	0.002	-0.0001667	0.002	0.009	0.002	8.333E-05	0.002	0.01	0.002	0.00025	0.002	0.01	0.002	5.556E-05
0.00225	0.0105	0.00225	0.00025	0.00225	0.01	0.00225	0.0003333	0.00225	0.009	0.00225	0.0005833	0.00225	0.009833	0.00225	0.0003889
0.0025	0.009	0.0025	8.333E-05	0.0025	0.008	0.0025	0.0005	0.0025	0.0085	0.0025	0.0004167	0.0025	0.0085	0.0025	0.0003333
0.00275	0.008	0.00275	0.0005833	0.00275	0.007	0.00275	0.0001667	0.00275	0.009	0.00275	0.0005833	0.00275	0.008	0.00275	0.0004444
0.003	0.0105	0.003	8.333E-05	0.003	0.0085	0.003	0.0006667	0.003	0.01	0.003	0.0005833	0.003	0.009667	0.003	0.0004444
0.00325	0.0095	0.00325	0.0003333	0.00325	0.009	0.00325	0.0005833	0.00325	0.007	0.00325	0.0004167	0.00325	0.0085	0.00325	0.0004444
0.0035	0.009	0.0035	0.00025	0.0035	0.0075	0.0035	0.0006667	0.0035	0.01	0.0035	0.0004167	0.0035	0.008833	0.0035	0.0004444
0.00375	0.0075	0.00375	0.0001667	0.00375	0.008	0.00375	0.0005	0.00375	0.0105	0.00375	0.0004167	0.00375	0.008667	0.00375	0.0003611
0.004	0.0075	0.004	0.0004167	0.004	0.009	0.004	0.0006667	0.004	0.01	0.004	0.0005833	0.004	0.008833	0.004	0.0005556
0.00425	0.009	0.00425	0.0001667	0.00425	0.009	0.00425	0.0004167	0.00425	0.01	0.00425	0.0005	0.00425	0.009333	0.00425	0.0003611
0.0045	0.0085	0.0045	0.0004167	0.0045	0.009	0.0045	0.0006667	0.0045	0.0075	0.0045	0.0004167	0.0045	0.008333	0.0045	0.0005
0.00475	0.01	0.00475	-8.333E-05	0.00475	0.008	0.00475	0.0004167	0.00475	0.0095	0.00475	0.0005833	0.00475	0.009167	0.00475	0.0003056
0.005	0.007	0.005	8.333E-05	0.005	0.0065	0.005	0.0001667	0.005	0.008	0.005	0.0005	0.005	0.007167	0.005	0.00025
0.00525	0.008	0.00525	0.0001667	0.00525	0.0075	0.00525	8.333E-05	0.00525	0.0105	0.00525	0.0008333	0.00525	0.008667	0.00525	0.0003611
0.0055	0.007	0.0055	0.0003333	0.0055	0.009	0.0055	0.0003333	0.0055	0.007	0.0055	0.0004167	0.0055	0.007667	0.0055	0.0003611
0.00575	0.01	0.00575	0.0005833	0.00575	0.0085	0.00575	0.0005	0.00575	0.0085	0.00575	0.0005833	0.00575	0.009	0.00575	0.0005556
0.006	0.008	0.006	0.00025	0.006	0.0105	0.006	0.0003333	0.006	0.0075	0.006	0.0004167	0.006	0.008667	0.006	0.0003333
0.00625	0.0085	0.00625	0.00075	0.00625	0.0055	0.00625	0.0003333	0.00625	0.009	0.00625	0.0006667	0.00625	0.007667	0.00625	0.0005833
0.0065	0.0105	0.0065	0.0003333	0.0065	0.0105	0.0065	0.0005833	0.0065	0.0075	0.0065	0.0003333	0.0065	0.0095	0.0065	0.0004167
0.00675	0.0085	0.00675	0.0001667	0.00675	0.0085	0.00675	0.0005833	0.00675	0.0075	0.00675	0.0008333	0.00675	0.008167	0.00675	0.0005278
0.007	0.009	0.007	0.0004167	0.007	0.009	0.007	0.0006667	0.007	0.008	0.007	0.0006667	0.007	0.008667	0.007	0.0005833
0.00725	0.008	0.00725	0.0001667	0.00725	0.0095	0.00725	0.0006667	0.00725	0.0085	0.00725	0.0006667	0.00725	0.008667	0.00725	0.0005
0.0075	0.009	0.0075	0.0005	0.0075	0.01	0.0075	0.0004167	0.0075	0.009	0.0075	0.0003333	0.0075	0.009333	0.0075	0.0004167
0.00775	0.0085	0.00775	8.333E-05	0.00775	0.0105	0.00775	0.0005833	0.00775	0.01	0.00775	0.0003333	0.00775	0.009667	0.00775	0.0003333
0.008	0.006	0.008	0.0005	0.008	0.0085	0.008	0.0009167	0.008	0.008	0.008	0.001083	0.008	0.0075	0.008	0.0008333
0.00825	0.0105	0.00825	0.0005833	0.00825	0.0085	0.00825	0.0005	0.00825	0.0095	0.00825	0.0003333	0.00825	0.0095	0.00825	0.0004722
0.0085	0.0085	0.0085	0.0004167	0.0085	0.009	0.0085	0.0004167	0.0085	0.008	0.0085	0.0003333	0.0085	0.0085	0.0085	0.0003889
0.00875	0.01	0.00875	0.0001667	0.00875	0.009	0.00875	0.0005	0.00875	0.0085	0.00875	0.0003333	0.00875	0.009167	0.00875	0.0003333
0.009	0.0075	0.009	0	0.009	0.0065	0.009	0.0005	0.009	0.0085	0.009	0.00025	0.009	0.0075	0.009	0.00025
0.00925	0.01	0.00925	0.0005	0.00925	0.0095	0.00925	0.0003333	0.00925	0.0065	0.00925	-8.333E-05	0.00925	0.008667	0.00925	0.00025
0.0095	0.0115	0.0095	0.00025	0.0095	0.01	0.0095	0.00025	0.0095	0.0085	0.0095	0.0001667	0.0095	0.01	0.0095	0.0002222
0.00975	0.0085	0.00975	0.0001667	0.00975	0.008	0.00975	0.0004167	0.00975	0.007	0.00975	8.333E-05	0.00975	0.007833	0.00975	0.0002222
0.01	0.0075	0.01	0.0001667	0.01	0.0115	0.01	0.001	0.01	0.007	0.01	0.0004167	0.01	0.008667	0.01	0.0005278
0.01025	0.009	0.01025	0.0003333	0.01025	0.0075	0.01025	0.0001667	0.01025	0.0085	0.01025	0.0005	0.01025	0.008333	0.01025	0.0003333
0.0105	0.0095	0.0105	0.0003333	0.0105	0.0095	0.0105	0.0008333	0.0105	0.009	0.0105	0.0006667	0.0105	0.009333	0.0105	0.0006111
0.01075	0.008	0.01075	0.0003333	0.01075	0.0095	0.01075	0.0003333	0.01075	0.009	0.01075	0.0005833	0.01075	0.008833	0.01075	0.0004167
0.011	0.0115	0.011	0.0006667	0.011	0.008	0.011	0.0005	0.011	0.008	0.011	0.00075	0.011	0.009167	0.011	0.0006389
0.01125	0.0095	0.01125	0.0004167	0.01125	0.01	0.01125	0.0004167	0.01125	0.008	0.01125	0.00025	0.01125	0.009167	0.01125	0.0003611
0.0115	0.0065	0.0115	0.0004167	0.0115	0.0095	0.0115	0.0005833	0.0115	0.0095	0.0115	0.0006667	0.0115	0.0085	0.0115	0.0005556
0.01175	0.0115	0.01175	0.00025	0.01175	0.0085	0.01175	0.0004167	0.01175	0.009	0.01175	0.00025	0.01175	0.009667	0.01175	0.0003056
0.012	0.006	0.012	0	0.012	0.0085	0.012	0.0001667	0.012	0.007	0.012	0.0005833	0.012	0.007167	0.012	0.00025
0.01225	0.01	0.01225	0.0004167	0.01225	0.007	0.01225	0.00025	0.01225	0.0095	0.01225	0.0004167	0.01225	0.008833	0.01225	0.0003611
0.0125	0.007	0.0125	0.0006667	0.0125	0.0085	0.0125	0.0004167	0.0125	0.008	0.0125	0.00025	0.0125	0.007833	0.0125	0.0004444
0.01275	0.008	0.01275	0.0005	0.01275	0.011	0.01275	0.0003333	0.01275	0.0065	0.01275	0.0003333	0.01275	0.0085	0.01275	0.0003889
0.013	0.0105	0.013	0.0001667	0.013	0.008	0.013	0.0005	0.013	0.01	0.013	0.0003333	0.013	0.0095	0.013	0.0003333
0.01325	0.01	0.01325	0.00025	0.01325	0.0085	0.01325	0.0005	0.01325	0.009	0.01325	0.0005833	0.01325	0.009167	0.01325	0.0004444
0.0135	0.0095	0.0135	8.333E-05	0.0135	0.0095	0.0135	0.0001667	0.0135	0.009	0.0135	0.0008333	0.0135	0.009333	0.0135	0.0003611
0.01375	0.0075	0.01375	0.0003333	0.01375	0.008	0.01375	0.0005	0.01375	0.007	0.01375	0.0005	0.01375	0.0075	0.01375	0.0004444
0.014	0.008	0.014	8.333E-05	0.014	0.0105	0.014	0.0006667	0.014	0.007	0.014	0.0008333	0.014	0.0085	0.014	0.0005278
0.01425	0.0105	0.01425	0.0005	0.01425	0.008	0.01425	0.00075	0.01425	0.0085	0.01425	0.0006667	0.01425	0.009	0.01425	0.0006389
0.0145	0.008	0.0145	0.00025	0.0145	0.007	0.0145	0.0004167	0.0145	0.008	0.0145	0.0004167	0.0145	0.007667	0.0145	0.0003611
