"Zeta Potential (mV) - NCs1 ETOH A40 SPION ESANO "	"Total Counts (kcps) - NCs1 ETOH A40 SPION ESANO "	"Zeta Potential (mV) - NCs1 ETOH A40 SPION ESANO "	"Total Counts (kcps) - NCs1 ETOH A40 SPION ESANO "	"Zeta Potential (mV) - NCs1 ETOH A40 SPION ESANO "	"Total Counts (kcps) - NCs1 ETOH A40 SPION ESANO "	Zeta Potential (mV) - NCs1 ETOH A40 SPION ESANO  (Avg)	Total Counts (kcps) - NCs1 ETOH A40 SPION ESANO  (Avg)
-147.4	0	-148.8	0	-146.5	0	-147.6	0
-143.9	0	-145.3	0	-143	0	-144.1	0
-140.4	0	-141.8	0	-139.5	0	-140.6	0
-136.9	0	-138.2	0	-136	0	-137.1	0
-133.3	0	-134.7	0	-132.4	0	-133.5	0
-129.8	0	-131.2	0	-128.9	0	-130	0
-126.3	0	-127.7	0	-125.4	0	-126.5	0
-122.8	0	-124.2	0	-121.9	0	-123	0
-119.3	0	-120.6	0	-118.4	0	-119.5	0
-115.8	0	-117.1	0	-114.9	0	-116	0
-112.2	0	-113.6	0	-111.3	0	-112.4	0
-108.7	0	-110.1	0	-107.8	0	-108.9	0
-105.2	0	-106.6	0	-104.3	0	-105.4	0
-101.7	0	-103.1	0	-100.8	0	-101.9	0
-98.16	0	-99.53	0	-97.26	0	-98.36	0
-94.64	0	-96.01	0	-93.75	0	-94.84	0
-91.12	0	-92.5	0	-90.23	0	-91.32	0
-87.61	0	-88.98	0	-86.71	0	-87.81	0
-84.09	0	-85.46	0	-83.19	0	-84.29	0
-80.57	0	-81.94	0	-79.67	0	-80.77	0
-77.05	0	-78.42	0	-76.16	0	-77.25	0
-73.53	0	-74.91	0	-72.64	0	-73.73	0
-70.02	0	-71.39	0	-69.12	0	-70.21	0
-66.5	0	-67.87	0	-65.6	0	-66.7	0
-62.98	0	-64.35	0	-62.08	0	-63.18	0
-59.46	0	-60.83	0	-58.56	0	-59.66	0
-55.94	0	-57.31	0	-55.05	0	-56.14	0
-52.42	0	-53.8	0	-51.53	0	-52.62	0
-48.91	0	-50.28	0	-48.01	0	-49.11	0
-45.39	0	-46.76	0	-44.49	0	-45.59	0
-41.87	0	-43.24	0	-40.97	0	-42.07	0
-38.35	0	-39.72	0	-37.46	0	-38.55	0
-34.83	0	-36.21	0	-33.94	0	-35.03	0
-31.32	0	-32.69	0	-30.42	0	-31.51	0
-27.8	0	-29.17	0	-26.9	1668	-28	0
-24.28	1.262E+04	-25.65	5635	-23.38	2.677E+04	-24.48	1.501E+04
-20.76	9.386E+04	-22.13	1.102E+05	-19.87	1.353E+05	-20.96	1.131E+05
-17.24	3.037E+05	-18.61	3.623E+05	-16.35	3.311E+05	-17.44	3.324E+05
-13.72	4.788E+05	-15.1	5.479E+05	-12.83	3.832E+05	-13.92	4.7E+05
-10.21	3.651E+05	-11.58	4.167E+05	-9.311	2.344E+05	-10.41	3.387E+05
-6.688	1.303E+05	-8.06	1.585E+05	-5.793	9.099E+04	-6.887	1.266E+05
-3.17	2.394E+04	-4.542	2.217E+04	-2.275	2.837E+04	-3.369	2.483E+04
0.3486	0	-1.024	0	1.243	2100	0.1488	0
3.867	0	2.494	0	4.761	0	3.667	0
7.385	0	6.012	0	8.279	0	7.185	0
10.9	0	9.53	0	11.8	0	10.7	0
14.42	0	13.05	0	15.32	0	14.22	0
17.94	0	16.57	0	18.83	0	17.74	0
21.46	0	20.08	0	22.35	0	21.26	0
24.98	0	23.6	0	25.87	0	24.78	0
28.49	0	27.12	0	29.39	0	28.29	0
32.01	0	30.64	0	32.91	0	31.81	0
35.53	0	34.16	0	36.42	0	35.33	0
39.05	0	37.68	0	39.94	0	38.85	0
42.57	0	41.19	0	43.46	0	42.37	0
46.09	0	44.71	0	46.98	0	45.88	0
49.6	0	48.23	0	50.5	0	49.4	0
53.12	0	51.75	0	54.01	0	52.92	0
56.64	0	55.27	0	57.53	0	56.44	0
60.16	0	58.78	0	61.05	0	59.96	0
63.68	0	62.3	0	64.57	0	63.48	0
67.19	0	65.82	0	68.09	0	66.99	0
70.71	0	69.34	0	71.61	0	70.51	0
74.23	0	72.86	0	75.12	0	74.03	0
77.75	0	76.38	0	78.64	0	77.55	0
81.27	0	79.89	0	82.16	0	81.07	0
84.79	0	83.41	0	85.68	0	84.58	0
88.3	0	86.93	0	89.2	0	88.1	0
91.82	0	90.45	0	92.71	0	91.62	0
95.34	0	93.97	0	96.23	0	95.14	0
98.86	0	97.48	0	99.75	0	98.66	0
102.4	0	101	0	103.3	0	102.2	0
105.9	0	104.5	0	106.8	0	105.7	0
109.4	0	108	0	110.3	0	109.2	0
112.9	0	111.6	0	113.8	0	112.7	0
116.4	0	115.1	0	117.3	0	116.2	0
120	0	118.6	0	120.9	0	119.8	0
123.5	0	122.1	0	124.4	0	123.3	0
127	0	125.6	0	127.9	0	126.8	0
130.5	0	129.1	0	131.4	0	130.3	0
134	0	132.7	0	134.9	0	133.8	0
137.6	0	136.2	0	138.4	0	137.4	0
141.1	0	139.7	0	142	0	140.9	0
144.6	0	143.2	0	145.5	0	144.4	0
